Filled Pause,Repetition,False Start,Prolongation,Self-Correction
अं,मैं-मैं,जा—,अच्छ्छ्छा,कल—
अँ,वो-वो,कर—,हम्म्म,नहीं—
उम्,ये-ये,ले—,आाा,परसों—
,जी-जी,कह—,अरे रे रे,माफ़—
हम्,उह उह,वो तो,अह,नहीं तो हां तो ये
हम्म,दो दो,तब तक हां,नहीं नी नी नी,हम्म जी नहीं
उम्म,हम्म हम्म,आप अ,अ अ अ अ,पहले तो इतना मतलब
अह,वो तो वो तो,बोव,रुकोओओ,ये तो बाकी तो
ओके,हाँ-हाँ-हाँ-हाँ,अच्छ,नाआआ,मो मा में महाराष्ट्र
अ अ,हाँ यस सर – हाँ यस सर,बचन,हांआआ,हां ये भी है ये है है ऐ
ह ह ह,आ रही आ रही आ रही,ज-ज,नहींईईई,अ पे से
ज़,हम्म-हम्म-हम्म,म मैंने मैंने,हाँआआआ,
हुह,हम्म-हम्म-हम्म-हम्म,अच्-,हूँ हूँ हूँ हूँ,बट अगर मैं आपको फिर भी अगर बताऊँ
ओह,वहीं-वहीं-वहीं,बिल्-,हुं हुं हुं हुं हुं हुं,हम लोग ज्यादा कॉलेज में मतलब कॉलेज तभी
उह,आप-आप,लू—,हूँ हूँ हूँ हूँ हूँ हूँ हूँ,कुछ ना कुछ तो मेरे तो
हुं हुं,नहीं-नहीं,ह ह ह,अच्छ्छ्छा,ये__वो
हह,नहीं-नहीं-नहीं,बिल,हम्म्म,मैं स्कूल__ कॉलेज
आह,हैलो हैलो,मम-,आाा,मैं सोच रहा हूँ नहीं
उ उ,सर-सर,प-,हाँाँाँ,आज__कल
अं,जी-जी-जी,न-,ओोो,ये तो मैं भी मानता हूँ तो मतलब
अँ,जी-हाँ-हाँ-जी-हाँ,ह हम्म,ईईई,एक्चुअली बनाते हुए मतलब मान के चलिए
उम्,हा हा,अभी आई अभी आई,रेेे,सात आठ आठ साल
उम्म,नहीं-नहीं-नहीं-नहीं,ऐह,अरेेे,जो भी तरीका जो भी है
हूँ,हाँ-हाँ-हम्-हम्,क-,हांंं,हाँ हाँ नहीं हाँ
हम्,लेकिन लेकिन,अरे,उंंं,वो ना वो जो
हम्म,"अच्छा- अच्छा अच्छा- अच्छा""",,आंंं,हाँ हूँ वो तो है वो तो है
हम्म्म,अच्छा अच्छा- अच्छ,ओहो,अह्ह्ह,हाँ बहुत हाँ वो भी है
अह,जी जी जी जी जी जी,वो वो,,मैंने सुना है__नहीं
आं,अच्छा अच्छा हम्म हम्म,आ-,,यह आसान काम है नहीं कठिन
आं…,हम्म हम्म हम्म हम्म हम्म हम्म हम्म,जैसे-अ वो,,बचा- बताना
अः,नहीं नहीं नहीं नहीं नहीं नहीं नहीं,बग बग बग,,बिल बिलकुल
हां…,उम्म उम्म,मु—,,ब ब बरसात
उह,मैंने मैंने,बस बस,,चोर मा चोर
उहं,ओके ओके ओके,"मुझे नहीं, मुझे लगता है",,आज—
,बिल्कुल बिल्कुल,सु—,,अभी—
,ह ह ह ह ह,बन—,,नहीं तो—
,आ आ,में—,,मेरा—नहीं—
,बहुत बहुत,अ—,,हाँ—नहीं—
,क्या-क्या,म—,,ठीक—नहीं—
,कभी- कभी,त—,,वो—नहीं—
,हां जी हां जी,व—,,आह—नहीं—
,अह अह अह,नही—,,रहने दो—
,यस यस यस,सर—,,हां—मतलब—
,राइट राइट,पर—,,
,सारी सारी,काम क—,,
,ये ये ये,हा ओ,,
,देखो देखो,,,
,बूँद बूँद,,,
,बिल्कुल बिल्कुल बिल्कुल,,,
,बहुत बढ़िया बहुत बढ़िया,,,
,किसी किसी किसी,,,
,जी जी जी हांजी बिल्कुल सही बात है,,,
,जी जी जी जी,,,
,मैं-मैं,,,
,तू-तू,,,
,वो-वो,,,
,ये-ये,,,
,हाँ-हाँ,,,
,जी-जी,,,
,नहीं-नहीं,,,
,सर-सार,,,
,आप-आप,,,
,वहीं-वहीं,,,
,अब- अब,,,
,हां-हां-हां ,,,
,हम्म-हम्म-हम्म,,,
,हूँ हूँ,,,